"lon","lat"
-80.719,-1.06683
-80.2698,-1.06683
-79.8205,-1.06683
-79.3713,-1.06683
-78.9221,-1.06683
-78.4728,-1.06683
-78.0236,-1.06683
-77.5744,-1.06683
-77.1251,-1.06683
-76.6759,-1.06683
-76.2266,-1.06683
-75.7774,-1.06683
-75.3282,-1.06683
-74.8789,-1.06683
-74.4297,-1.06683
-73.9805,-1.06683
-73.5312,-1.06683
-73.082,-1.06683
-72.6328,-1.06683
-72.1835,-1.06683
-71.7343,-1.06683
-71.2851,-1.06683
-70.8358,-1.06683
-70.3866,-1.06683
-69.9374,-1.06683
-69.4881,-1.06683
-69.0389,-1.06683
-68.5896,-1.06683
-68.1404,-1.06683
-67.6912,-1.06683
-67.2419,-1.06683
-66.7927,-1.06683
-66.3435,-1.06683
-65.8942,-1.06683
-65.445,-1.06683
-64.9958,-1.06683
-64.5465,-1.06683
-64.0973,-1.06683
-63.6481,-1.06683
-63.1988,-1.06683
-62.7496,-1.06683
-62.3004,-1.06683
-61.8511,-1.06683
-61.4019,-1.06683
-60.9526,-1.06683
-60.5034,-1.06683
-60.0542,-1.06683
-59.6049,-1.06683
-59.1557,-1.06683
-58.7065,-1.06683
-58.2572,-1.06683
-57.808,-1.06683
-57.3588,-1.06683
-56.9095,-1.06683
-56.4603,-1.06683
-56.0111,-1.06683
-55.5618,-1.06683
-55.1126,-1.06683
-54.6634,-1.06683
-54.2141,-1.06683
-53.7649,-1.06683
-53.3156,-1.06683
-52.8664,-1.06683
-52.4172,-1.06683
-51.9679,-1.06683
-51.5187,-1.06683
-51.0695,-1.06683
-50.6202,-1.06683
-50.171,-1.06683
-49.7218,-1.06683
-49.2725,-1.06683
-48.8233,-1.06683
-48.3741,-1.06683
-47.9248,-1.06683
-47.4756,-1.06683
-47.0264,-1.06683
-46.5771,-1.06683
9.1281,-1.06683
9.5773,-1.06683
10.0265,-1.06683
10.4758,-1.06683
10.925,-1.06683
11.3742,-1.06683
11.8235,-1.06683
12.2727,-1.06683
12.7219,-1.06683
13.1712,-1.06683
13.6204,-1.06683
14.0697,-1.06683
14.5189,-1.06683
14.9681,-1.06683
15.4174,-1.06683
15.8666,-1.06683
16.3158,-1.06683
16.7651,-1.06683
17.2143,-1.06683
17.6635,-1.06683
18.1128,-1.06683
18.562,-1.06683
19.0112,-1.06683
19.4605,-1.06683
19.9097,-1.06683
20.3589,-1.06683
20.8082,-1.06683
21.2574,-1.06683
21.7067,-1.06683
22.1559,-1.06683
22.6051,-1.06683
23.0544,-1.06683
23.5036,-1.06683
23.9528,-1.06683
24.4021,-1.06683
24.8513,-1.06683
25.3005,-1.06683
25.7498,-1.06683
26.199,-1.06683
26.6482,-1.06683
27.0975,-1.06683
27.5467,-1.06683
27.9959,-1.06683
28.4452,-1.06683
28.8944,-1.06683
